- Dominio: PRODUCTO_NATURAL_HOMEOPATICO | Categoria: FITOTERAPIA | Subcategoria: RELAJANTES Y SEDANTES
- Dominio: MISCELANEO | Categoria: ALIMENTOS | Subcategoria: EDULCORANTES
- Dominio: MISCELANEO | Categoria: BEBIDAS | Subcategoria: AGUA EMBOTELLADA
- Dominio: MISCELANEO | Categoria: BEBIDAS | Subcategoria: BEBIDAS HIDRATANTES Y DEPORTIVAS
- Dominio: MISCELANEO | Categoria: BEBIDAS | Subcategoria: TES Y BEBIDAS FUNCIONALES
- Dominio: MISCELANEO | Categoria: BIENESTAR SEXUAL | Subcategoria: PRESERVATIVOS
- Dominio: MISCELANEO | Categoria: BIENESTAR SEXUAL | Subcategoria: LUBRICANTES
- Dominio: MISCELANEO | Categoria: BIENESTAR SEXUAL | Subcategoria: PRUEBAS DE EMBARAZO Y OVULACION
- Dominio: MISCELANEO | Categoria: OPTICA | Subcategoria: SOLUCIONES PARA LENTES DE CONTACTO
- Dominio: MISCELANEO | Categoria: OPTICA | Subcategoria: GOTAS LUBRICANTES OCULARES
- Dominio: MISCELANEO | Categoria: OPTICA | Subcategoria: LENTES DE LECTURA
- Dominio: MISCELANEO | Categoria: CUIDADO DEL HOGAR | Subcategoria: REPELENTES DE INSECTOS
- Dominio: MISCELANEO | Categoria: MASCOTAS | Subcategoria: ANTIPULGAS Y GARRAPATAS
- Dominio: MISCELANEO | Categoria: VARIOS | Subcategoria: BATERIAS
- Dominio: MISCELANEO | Categoria: VARIOS | Subcategoria: DULCES Y GOMAS DE MASCAR
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A01 - PREPARADOS ESTOMATOLÓGICOS | Subcategoria: [A01A] PREPARADOS ESTOMATOLÓGICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A02 - FÁRMACOS PARA TRASTORNOS RELACIONADOS CON LA ACIDEZ | Subcategoria: [A02A] ANTIÁCIDOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A02 - FÁRMACOS PARA TRASTORNOS RELACIONADOS CON LA ACIDEZ | Subcategoria: [A02B] FÁRMACOS PARA LA ÚLCERA PÉPTICA Y LA ENFERMEDAD POR REFLUJO GASTROESOFÁGICO (ERGE)
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A02 - FÁRMACOS PARA TRASTORNOS RELACIONADOS CON LA ACIDEZ | Subcategoria: [A02X] OTROS FÁRMACOS PARA TRASTORNOS RELACIONADOS CON LA ACIDEZ
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A03 - FÁRMACOS PARA TRASTORNOS GASTROINTESTINALES FUNCIONALES | Subcategoria: [A03A] FÁRMACOS PARA TRASTORNOS GASTROINTESTINALES FUNCIONALES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A03 - FÁRMACOS PARA TRASTORNOS GASTROINTESTINALES FUNCIONALES | Subcategoria: [A03B] BELLADONA Y DERIVADOS, SOLOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A03 - FÁRMACOS PARA TRASTORNOS GASTROINTESTINALES FUNCIONALES | Subcategoria: [A03C] ANTIESPASMÓDICOS EN COMBINACIÓN CON PSICOLÉPTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A03 - FÁRMACOS PARA TRASTORNOS GASTROINTESTINALES FUNCIONALES | Subcategoria: [A03D] ANTIESPASMÓDICOS EN COMBINACIÓN CON ANALGÉSICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A03 - FÁRMACOS PARA TRASTORNOS GASTROINTESTINALES FUNCIONALES | Subcategoria: [A03E] ANTIESPASMÓDICOS Y ANTICOLINÉRGICOS EN COMBINACIÓN CON OTROS FÁRMACOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A03 - FÁRMACOS PARA TRASTORNOS GASTROINTESTINALES FUNCIONALES | Subcategoria: [A03F] PROPULSIVOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A04 - ANTIEMÉTICOS Y ANTINAUSEOSOS | Subcategoria: [A04A] ANTIEMÉTICOS Y ANTINAUSEOSOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A05 - TERAPIA BILIAR Y HEPÁTICA | Subcategoria: [A05A] TERAPIA BILIAR
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A05 - TERAPIA BILIAR Y HEPÁTICA | Subcategoria: [A05B] TERAPIA HEPÁTICA, LIPOTRÓPICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A05 - TERAPIA BILIAR Y HEPÁTICA | Subcategoria: [A05C] FÁRMACOS PARA TERAPIA BILIAR Y LIPOTRÓPICOS EN COMBINACIÓN
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A06 - FÁRMACOS PARA EL ESTREÑIMIENTO | Subcategoria: [A06A] FÁRMACOS PARA EL ESTREÑIMIENTO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A07 - ANTIDIARREICOS, AGENTES ANTIINFLAMATORIOS/ANTIINFECCIOSOS INTESTINALES | Subcategoria: [A07A] ANTIINFECCIOSOS INTESTINALES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A07 - ANTIDIARREICOS, AGENTES ANTIINFLAMATORIOS/ANTIINFECCIOSOS INTESTINALES | Subcategoria: [A07B] ADSORBENTES INTESTINALES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A07 - ANTIDIARREICOS, AGENTES ANTIINFLAMATORIOS/ANTIINFECCIOSOS INTESTINALES | Subcategoria: [A07C] ELECTROLITOS CON CARBOHIDRATOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A07 - ANTIDIARREICOS, AGENTES ANTIINFLAMATORIOS/ANTIINFECCIOSOS INTESTINALES | Subcategoria: [A07D] ANTIPROPULSIVOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A07 - ANTIDIARREICOS, AGENTES ANTIINFLAMATORIOS/ANTIINFECCIOSOS INTESTINALES | Subcategoria: [A07E] AGENTES ANTIINFLAMATORIOS INTESTINALES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A07 - ANTIDIARREICOS, AGENTES ANTIINFLAMATORIOS/ANTIINFECCIOSOS INTESTINALES | Subcategoria: [A07F] MICROORGANISMOS ANTIDIARREICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A07 - ANTIDIARREICOS, AGENTES ANTIINFLAMATORIOS/ANTIINFECCIOSOS INTESTINALES | Subcategoria: [A07X] OTROS ANTIDIARREICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A08 - PREPARADOS ANTIOBESIDAD, EXCL. PRODUCTOS DIETÉTICOS | Subcategoria: [A08A] PREPARADOS ANTIOBESIDAD, EXCL. PRODUCTOS DIETÉTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A09 - DIGESTIVOS, INCL. ENZIMAS | Subcategoria: [A09A] DIGESTIVOS, INCL. ENZIMAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A10 - FÁRMACOS UTILIZADOS EN LA DIABETES | Subcategoria: [A10A] INSULINAS Y ANÁLOGOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A10 - FÁRMACOS UTILIZADOS EN LA DIABETES | Subcategoria: [A10B] FÁRMACOS REDUCTORES DE LA GLUCOSA EN SANGRE, EXCL. INSULINAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A10 - FÁRMACOS UTILIZADOS EN LA DIABETES | Subcategoria: [A10X] OTROS FÁRMACOS UTILIZADOS EN LA DIABETES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A11 - VITAMINAS | Subcategoria: [A11A] MULTIVITAMINAS, COMBINACIONES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A11 - VITAMINAS | Subcategoria: [A11B] MULTIVITAMINAS, SIMPLES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A11 - VITAMINAS | Subcategoria: [A11C] VITAMINA A Y D, INCL. COMBINACIONES DE AMBAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A11 - VITAMINAS | Subcategoria: [A11D] VITAMINA B1, SIMPLE Y EN COMBINACIÓN CON VITAMINA B6 Y B12
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A11 - VITAMINAS | Subcategoria: [A11E] COMPLEJO VITAMÍNICO B, INCL. COMBINACIONES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A11 - VITAMINAS | Subcategoria: [A11G] ÁCIDO ASCÓRBICO (VITAMINA C), INCL. COMBINACIONES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A11 - VITAMINAS | Subcategoria: [A11H] OTROS PREPARADOS VITAMÍNICOS SIMPLES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A11 - VITAMINAS | Subcategoria: [A11J] OTROS PRODUCTOS VITAMÍNICOS, COMBINACIONES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A12 - SUPLEMENTOS MINERALES | Subcategoria: [A12A] CALCIO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A12 - SUPLEMENTOS MINERALES | Subcategoria: [A12B] POTASIO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A12 - SUPLEMENTOS MINERALES | Subcategoria: [A12C] OTROS SUPLEMENTOS MINERALES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A13 - TÓNICOS | Subcategoria: [A13A] TÓNICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A14 - AGENTES ANABÓLICOS PARA USO SISTÉMICO | Subcategoria: [A14A] ESTEROIDES ANABÓLICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A14 - AGENTES ANABÓLICOS PARA USO SISTÉMICO | Subcategoria: [A14B] OTROS AGENTES ANABÓLICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: A16 - OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y EL METABOLISMO | Subcategoria: [A16A] OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y EL METABOLISMO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: B01 - AGENTES ANTITROMBÓTICOS | Subcategoria: [B01A] AGENTES ANTITROMBÓTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: B02 - ANTIHEMORRÁGICOS | Subcategoria: [B02A] ANTIFIBRINOLÍTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: B02 - ANTIHEMORRÁGICOS | Subcategoria: [B02B] VITAMINA K Y OTROS HEMOSTÁTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: B03 - PREPARADOS ANTIANÉMICOS | Subcategoria: [B03A] PREPARADOS DE HIERRO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: B03 - PREPARADOS ANTIANÉMICOS | Subcategoria: [B03B] VITAMINA B12 Y ÁCIDO FÓLICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: B03 - PREPARADOS ANTIANÉMICOS | Subcategoria: [B03X] OTROS PREPARADOS ANTIANÉMICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES DE PERFUSIÓN | Subcategoria: [B05A] SANGRE Y PRODUCTOS RELACIONADOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES DE PERFUSIÓN | Subcategoria: [B05B] SOLUCIONES INTRAVENOSAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES DE PERFUSIÓN | Subcategoria: [B05C] SOLUCIONES DE IRRIGACIÓN
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES DE PERFUSIÓN | Subcategoria: [B05D] DIALÍTICOS PERITONEALES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES DE PERFUSIÓN | Subcategoria: [B05X] ADITIVOS PARA SOLUCIONES INTRAVENOSAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES DE PERFUSIÓN | Subcategoria: [B05Z] HEMODIALÍTICOS Y HEMOFILTRADOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: B06 - OTROS AGENTES HEMATOLÓGICOS | Subcategoria: [B06A] OTROS AGENTES HEMATOLÓGICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C01 - TERAPIA CARDÍACA | Subcategoria: [C01A] GLUCÓSIDOS CARDÍACOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C01 - TERAPIA CARDÍACA | Subcategoria: [C01B] ANTIARRÍTMICOS, CLASE I Y III
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C01 - TERAPIA CARDÍACA | Subcategoria: [C01C] ESTIMULANTES CARDÍACOS EXCL. GLUCÓSIDOS CARDÍACOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C01 - TERAPIA CARDÍACA | Subcategoria: [C01D] VASODILATADORES UTILIZADOS EN ENFERMEDADES CARDÍACAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C01 - TERAPIA CARDÍACA | Subcategoria: [C01E] OTROS PREPARADOS CARDÍACOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C02 - ANTIHIPERTENSIVOS | Subcategoria: [C02A] AGENTES ANTIADRENÉRGICOS, DE ACCIÓN CENTRAL
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C02 - ANTIHIPERTENSIVOS | Subcategoria: [C02B] AGENTES ANTIADRENÉRGICOS, BLOQUEADORES GANGLIONARES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C02 - ANTIHIPERTENSIVOS | Subcategoria: [C02C] AGENTES ANTIADRENÉRGICOS, DE ACCIÓN PERIFÉRICA
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C02 - ANTIHIPERTENSIVOS | Subcategoria: [C02D] MÚSCULO LISO ARTERIOLAR, AGENTES QUE ACTÚAN SOBRE
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C02 - ANTIHIPERTENSIVOS | Subcategoria: [C02K] OTROS ANTIHIPERTENSIVOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C02 - ANTIHIPERTENSIVOS | Subcategoria: [C02L] ANTIHIPERTENSIVOS Y DIURÉTICOS EN COMBINACIÓN
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C02 - ANTIHIPERTENSIVOS | Subcategoria: [C02N] COMBINACIONES DE ANTIHIPERTENSIVOS EN ATC-GR. C02
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C03 - DIURÉTICOS | Subcategoria: [C03A] DIURÉTICOS DE BAJO TECHO, TIAZIDAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C03 - DIURÉTICOS | Subcategoria: [C03B] DIURÉTICOS DE BAJO TECHO, EXCL. TIAZIDAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C03 - DIURÉTICOS | Subcategoria: [C03C] DIURÉTICOS DE ALTO TECHO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C03 - DIURÉTICOS | Subcategoria: [C03D] ANTAGONISTAS DE LA ALDOSTERONA Y OTROS AGENTES AHORRADORES DE POTASIO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C03 - DIURÉTICOS | Subcategoria: [C03E] DIURÉTICOS Y AGENTES AHORRADORES DE POTASIO EN COMBINACIÓN
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C03 - DIURÉTICOS | Subcategoria: [C03X] OTROS DIURÉTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C04 - VASODILATADORES PERIFÉRICOS | Subcategoria: [C04A] VASODILATADORES PERIFÉRICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C05 - VASOPROTECTORES | Subcategoria: [C05A] AGENTES PARA EL TRATAMIENTO DE HEMORROIDES Y FISURAS ANALES PARA USO TÓPICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C05 - VASOPROTECTORES | Subcategoria: [C05B] TERAPIA ANTIVARICOSA
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C05 - VASOPROTECTORES | Subcategoria: [C05C] AGENTES ESTABILIZADORES CAPILARES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C05 - VASOPROTECTORES | Subcategoria: [C05X] OTROS VASOPROTECTORES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C07 - BETABLOQUEANTES | Subcategoria: [C07A] BETABLOQUEANTES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C07 - BETABLOQUEANTES | Subcategoria: [C07B] BETABLOQUEANTES Y TIAZIDAS
